
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
01.04armB  <  (87,551) (87,552) (88,552) (88,551) > 
01.06armB  <  (87,851) (87,852) (88,852) (88,851) > 
01.10armB  <  (87,1451) (87,1452) (88,1452) (88,1451) > 
01.12armB  <  (87,1751) (87,1752) (88,1752) (88,1751) > 
01.14armB  <  (87,2051) (87,2052) (88,2052) (88,2051) > 
01.16armB  <  (87,2351) (87,2352) (88,2352) (88,2351) > 
01.18armB  <  (87,2651) (87,2652) (88,2652) (88,2651) > 
02.01armB  <  (174,101) (174,102) (175,102) (175,101) > 
02.03armB  <  (174,401) (174,402) (175,402) (175,401) > 
02.05armB  <  (174,701) (174,702) (175,702) (175,701) > 
02.07armB  <  (174,1001) (174,1002) (175,1002) (175,1001) > 
02.09armB  <  (174,1301) (174,1302) (175,1302) (175,1301) > 
02.11armB  <  (174,1601) (174,1602) (175,1602) (175,1601) > 
02.13armB  <  (174,1901) (174,1902) (175,1902) (175,1901) > 
02.15armB  <  (174,2201) (174,2202) (175,2202) (175,2201) > 
02.17armB  <  (174,2501) (174,2502) (175,2502) (175,2501) > 
02.19armB  <  (174,2801) (174,2802) (175,2802) (175,2801) > 
03.02armB  <  (261,251) (261,252) (262,252) (262,251) > 
03.04armB  <  (261,551) (261,552) (262,552) (262,551) > 
03.06armB  <  (261,851) (261,852) (262,852) (262,851) > 
03.08armB  <  (261,1151) (261,1152) (262,1152) (262,1151) > 
03.10armB  <  (261,1451) (261,1452) (262,1452) (262,1451) > 
03.12armB  <  (261,1751) (261,1752) (262,1752) (262,1751) > 
03.14armB  <  (261,2051) (261,2052) (262,2052) (262,2051) > 
03.16armB  <  (261,2351) (261,2352) (262,2352) (262,2351) > 
03.18armB  <  (261,2651) (261,2652) (262,2652) (262,2651) > 
03.20armB  <  (261,2951) (261,2952) (262,2952) (262,2951) > 
04.01armB  <  (348,101) (348,102) (349,102) (349,101) > 
04.03armB  <  (348,401) (348,402) (349,402) (349,401) > 
04.05armB  <  (348,701) (348,702) (349,702) (349,701) > 
04.07armB  <  (348,1001) (348,1002) (349,1002) (349,1001) > 
04.09armB  <  (348,1301) (348,1302) (349,1302) (349,1301) > 
04.11armB  <  (348,1601) (348,1602) (349,1602) (349,1601) > 
04.13armB  <  (348,1901) (348,1902) (349,1902) (349,1901) > 
04.15armB  <  (348,2201) (348,2202) (349,2202) (349,2201) > 
04.17armB  <  (348,2501) (348,2502) (349,2502) (349,2501) > 
04.19armB  <  (348,2801) (348,2802) (349,2802) (349,2801) > 
04.21armB  <  (348,3101) (348,3102) (349,3102) (349,3101) > 
04.23armB  <  (392,3388) (392,3389) (393,3389) (393,3388) > 
05.02armB  <  (435,251) (435,252) (436,252) (436,251) > 
05.04armB  <  (435,551) (435,552) (436,552) (436,551) > 
05.06armB  <  (435,851) (435,852) (436,852) (436,851) > 
05.08armB  <  (435,1151) (435,1152) (436,1152) (436,1151) > 
05.10armB  <  (435,1451) (435,1452) (436,1452) (436,1451) > 
05.12armB  <  (435,1751) (435,1752) (436,1752) (436,1751) > 
05.14armB  <  (435,2051) (435,2052) (436,2052) (436,2051) > 
05.16armB  <  (435,2351) (435,2352) (436,2352) (436,2351) > 
05.18armB  <  (435,2651) (435,2652) (436,2652) (436,2651) > 
05.20armB  <  (435,2951) (435,2952) (436,2952) (436,2951) > 
05.22armB  <  (435,3251) (435,3252) (436,3252) (436,3251) > 
05.24armB  <  (459,3533) (459,3534) (460,3534) (460,3533) > 
06.01armB  <  (522,101) (522,102) (523,102) (523,101) > 
06.03armB  <  (522,401) (522,402) (523,402) (523,401) > 
06.05armB  <  (522,701) (522,702) (523,702) (523,701) > 
06.07armB  <  (522,1001) (522,1002) (523,1002) (523,1001) > 
06.09armB  <  (522,1301) (522,1302) (523,1302) (523,1301) > 
06.11armB  <  (522,1601) (522,1602) (523,1602) (523,1601) > 
06.13armB  <  (522,1901) (522,1902) (523,1902) (523,1901) > 
06.15armB  <  (522,2201) (522,2202) (523,2202) (523,2201) > 
06.17armB  <  (522,2501) (522,2502) (523,2502) (523,2501) > 
06.19armB  <  (522,2801) (522,2802) (523,2802) (523,2801) > 
06.21armB  <  (522,3101) (522,3102) (523,3102) (523,3101) > 
06.23armB  <  (522,3401) (522,3402) (523,3402) (523,3401) > 
06.25armB  <  (522,3701) (522,3702) (523,3702) (523,3701) > 
07.02armB  <  (609,251) (609,252) (610,252) (610,251) > 
07.04armB  <  (609,551) (609,552) (610,552) (610,551) > 
07.06armB  <  (609,851) (609,852) (610,852) (610,851) > 
07.08armB  <  (609,1151) (609,1152) (610,1152) (610,1151) > 
07.10armB  <  (609,1451) (609,1452) (610,1452) (610,1451) > 
07.12armB  <  (609,1751) (609,1752) (610,1752) (610,1751) > 
07.14armB  <  (609,2051) (609,2052) (610,2052) (610,2051) > 
07.16armB  <  (609,2351) (609,2352) (610,2352) (610,2351) > 
07.18armB  <  (609,2651) (609,2652) (610,2652) (610,2651) > 
07.20armB  <  (609,2951) (609,2952) (610,2952) (610,2951) > 
07.22armB  <  (609,3251) (609,3252) (610,3252) (610,3251) > 
07.24armB  <  (609,3551) (609,3552) (610,3552) (610,3551) > 
07.26armB  <  (609,3851) (609,3852) (610,3852) (610,3851) > 
08.01armB  <  (696,101) (696,102) (697,102) (697,101) > 
08.03armB  <  (696,401) (696,402) (697,402) (697,401) > 
08.05armB  <  (696,701) (696,702) (697,702) (697,701) > 
08.07armB  <  (696,1001) (696,1002) (697,1002) (697,1001) > 
